run_id,outter_seed,outter_fold,C,l1_ratio,top_k,mean_inner_accuracy,std_inner_accuracy,n_estimators,max_depth,min_samples_split
1,1,1,0.1,0.5,10,0.775,0.0637377439199098,200,5.0,5
1,1,1,0.1,0.5,20,0.8,0.046770717334674264,200,5.0,5
1,1,1,0.1,0.5,50,0.8125,0.08838834764831845,200,5.0,5
1,1,1,0.1,0.5,5,0.75,0.09682458365518543,100,10.0,2
1,1,1,0.1,0.5,10,0.775,0.075,100,10.0,2
1,1,1,0.1,0.5,20,0.8125,0.03952847075210474,100,10.0,2
1,1,1,0.1,0.5,50,0.7875,0.05,100,10.0,2
1,1,1,0.1,0.5,5,0.775,0.08477912478906585,200,10.0,2
1,1,1,0.1,0.5,10,0.7875,0.08477912478906585,200,10.0,2
1,1,1,0.1,0.5,20,0.8375,0.05,200,10.0,2
1,1,1,0.1,0.5,50,0.7875,0.08477912478906585,200,10.0,2
