param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score
0.16681,0.9,10,0.8200000000000001,0.15542057635833026,33
0.16681,0.9,20,0.74,0.09921917377424813,103
0.16681,0.9,50,0.8299999999999998,0.035590260840104374,29
0.599484,0.1,5,0.7433333333333334,0.10143416036468626,90
0.599484,0.1,10,0.7433333333333334,0.09695359714832656,90
0.599484,0.1,20,0.78,0.09092121131323903,55
0.599484,0.1,50,0.89,0.08666666666666666,1
0.599484,0.3,5,0.7433333333333334,0.1167142760000773,90
0.599484,0.3,10,0.7433333333333334,0.14321700705960558,90
0.599484,0.3,20,0.7366666666666666,0.07180219742846006,108
0.599484,0.3,50,0.8733333333333334,0.09104333522498441,9
0.599484,0.5,5,0.7033333333333334,0.07408703590297623,125
0.599484,0.5,10,0.8133333333333332,0.08259674462242579,39
0.599484,0.5,20,0.7533333333333333,0.046427960923947076,85
0.599484,0.5,50,0.8133333333333332,0.09741092797468306,39
0.599484,0.7,5,0.7266666666666668,0.05333333333333333,114
0.599484,0.7,10,0.7799999999999999,0.09392668535736916,66
0.599484,0.7,20,0.7366666666666667,0.06699917080747261,106
0.599484,0.7,50,0.8133333333333332,0.05312459150169741,39
0.599484,0.9,5,0.7466666666666667,0.09797958971132713,86
0.599484,0.9,10,0.7433333333333334,0.08339997335464537,90
0.599484,0.9,20,0.7366666666666667,0.06699917080747261,106
0.599484,0.9,50,0.8299999999999998,0.035590260840104374,29
2.15443,0.1,5,0.74,0.10252370999486467,103
2.15443,0.1,10,0.7433333333333334,0.10780641085864154,90
2.15443,0.1,20,0.7966666666666666,0.08844332774281068,48
2.15443,0.1,50,0.8866666666666667,0.0725718035235908,7
2.15443,0.3,5,0.78,0.08393118874676114,55
2.15443,0.3,10,0.76,0.12319812408384223,75
2.15443,0.3,20,0.7766666666666666,0.0442216638714053,68
2.15443,0.3,50,0.8733333333333334,0.09104333522498441,9
2.15443,0.5,5,0.76,0.11766241729815193,75
2.15443,0.5,10,0.7433333333333334,0.14321700705960558,90
2.15443,0.5,20,0.7566666666666666,0.09637888196533975,83
2.15443,0.5,50,0.8700000000000001,0.04396968652757643,12
2.15443,0.7,5,0.76,0.11766241729815193,75
2.15443,0.7,10,0.7433333333333334,0.10252370999486468,90
2.15443,0.7,20,0.7566666666666666,0.09637888196533975,83
2.15443,0.7,50,0.8333333333333334,0.062360956446232345,24
2.15443,0.9,5,0.6866666666666668,0.11075498483890765,127
2.15443,0.9,10,0.7233333333333333,0.07195677714974301,117
2.15443,0.9,20,0.7366666666666666,0.10561986345169909,108
2.15443,0.9,50,0.8533333333333333,0.06944222218666553,17
7.74264,0.1,5,0.7066666666666668,0.16213848676020412,122
7.74264,0.1,10,0.7466666666666667,0.12174654911833116,86
7.74264,0.1,20,0.8166666666666667,0.1164283279771532,34
7.74264,0.1,50,0.8666666666666666,0.07958224257542214,14
7.74264,0.3,5,0.76,0.10252370999486467,75
7.74264,0.3,10,0.7633333333333333,0.09741092797468309,71
7.74264,0.3,20,0.78,0.09092121131323903,55
7.74264,0.3,50,0.89,0.08666666666666666,1
7.74264,0.5,5,0.78,0.08393118874676114,55
7.74264,0.5,10,0.78,0.11990737165736635,55
7.74264,0.5,20,0.7766666666666666,0.0442216638714053,68
7.74264,0.5,50,0.89,0.06879922480183433,1
7.74264,0.7,5,0.76,0.11766241729815193,75
7.74264,0.7,10,0.78,0.1082178872049862,55
7.74264,0.7,20,0.7366666666666666,0.07180219742846006,108
7.74264,0.7,50,0.89,0.06879922480183433,1
7.74264,0.9,5,0.7433333333333333,0.12587471725666138,101
7.74264,0.9,10,0.7666666666666668,0.12382783747337811,70
7.74264,0.9,20,0.7366666666666666,0.08844332774281069,108
7.74264,0.9,50,0.8333333333333334,0.062360956446232345,24
27.8256,0.1,5,0.6166666666666667,0.1552775293180282,132
27.8256,0.1,10,0.71,0.1565602475442317,119
27.8256,0.1,20,0.8,0.11879019787470309,45
27.8256,0.1,50,0.85,0.1256096245427785,18
27.8256,0.3,5,0.6866666666666666,0.16172679294277603,128
27.8256,0.3,10,0.7266666666666666,0.13021349989749742,115
27.8256,0.3,20,0.8166666666666667,0.1164283279771532,34
27.8256,0.3,50,0.8666666666666666,0.07958224257542214,14
27.8256,0.5,5,0.74,0.10252370999486467,103
27.8256,0.5,10,0.7433333333333334,0.0703957069398096,90
27.8256,0.5,20,0.7966666666666666,0.08844332774281068,48
27.8256,0.5,50,0.8466666666666667,0.05099019513592786,22
27.8256,0.7,5,0.76,0.10252370999486467,75
27.8256,0.7,10,0.7633333333333333,0.09741092797468309,71
