param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score
7.74264,0.9,50,0.7533333333333333,0.12710450643291746,33
27.8256,0.1,5,0.5866666666666667,0.1582543662729229,133
27.8256,0.1,10,0.6733333333333333,0.12978614889287857,107
27.8256,0.1,20,0.7066666666666667,0.10413666234542208,86
27.8256,0.1,50,0.7233333333333333,0.10088497300281038,77
27.8256,0.3,5,0.6366666666666667,0.08259674462242578,122
27.8256,0.3,10,0.6,0.1888562063228706,130
27.8256,0.3,20,0.7266666666666667,0.09752492558885198,66
27.8256,0.3,50,0.74,0.10780641085864154,48
27.8256,0.5,5,0.6666666666666666,0.03496029493900505,114
27.8256,0.5,10,0.6366666666666666,0.15684387141358122,124
27.8256,0.5,20,0.76,0.07039570693980958,26
27.8256,0.5,50,0.7566666666666666,0.11185307823708346,28
27.8256,0.7,5,0.7233333333333334,0.09752492558885198,73
27.8256,0.7,10,0.6166666666666667,0.15311578770474468,126
27.8256,0.7,20,0.7433333333333334,0.10143416036468626,43
27.8256,0.7,50,0.7566666666666666,0.11185307823708346,28
27.8256,0.9,5,0.7233333333333334,0.09752492558885198,73
27.8256,0.9,10,0.6666666666666666,0.08881941729649488,114
27.8256,0.9,20,0.7633333333333334,0.13474255287605158,22
27.8256,0.9,50,0.7200000000000001,0.10402991022884824,81
100.0,0.1,5,0.5866666666666667,0.1582543662729229,133
100.0,0.1,10,0.6733333333333333,0.12978614889287857,107
100.0,0.1,20,0.7066666666666667,0.10413666234542208,86
100.0,0.1,50,0.7233333333333333,0.10088497300281038,77
100.0,0.3,5,0.5866666666666667,0.1582543662729229,133
100.0,0.3,10,0.6733333333333333,0.12978614889287857,107
100.0,0.3,20,0.7066666666666667,0.10413666234542208,86
100.0,0.3,50,0.7233333333333333,0.10088497300281038,77
100.0,0.5,5,0.6033333333333333,0.1596524001977073,127
100.0,0.5,10,0.6533333333333333,0.14884742374510737,117
100.0,0.5,20,0.7066666666666667,0.10413666234542208,86
100.0,0.5,50,0.7233333333333333,0.10088497300281038,77
100.0,0.7,5,0.6033333333333333,0.1596524001977073,127
100.0,0.7,10,0.6,0.1888562063228706,130
100.0,0.7,20,0.7066666666666667,0.10413666234542208,86
100.0,0.7,50,0.74,0.10780641085864154,48
100.0,0.9,5,0.6033333333333333,0.1596524001977073,127
100.0,0.9,10,0.6,0.1888562063228706,130
