param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.599484,0.5,20,0.8366666666666666,0.12265579661982734,12,0.6333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.8166666666666667,0.16797981262207032,0.0015555381774902343
0.599484,0.5,50,0.8233333333333333,0.127627931460511,15,0.6333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.75,0.16860461235046387,0.0016619205474853516
0.599484,0.7,5,0.6966666666666667,0.18601075237738277,127,0.3666666666666667,0.6666666666666666,0.9166666666666667,0.7166666666666667,0.8166666666666667,0.19969801902770995,0.0015668392181396485
0.599484,0.7,10,0.7433333333333334,0.14476033833738974,99,0.55,0.7333333333333334,1.0,0.7166666666666667,0.7166666666666667,0.19980416297912598,0.001548624038696289
0.599484,0.7,20,0.8166666666666668,0.16599866130651644,26,0.5333333333333333,0.9166666666666667,1.0,0.9,0.7333333333333334,0.19955224990844728,0.0015630722045898438
0.599484,0.7,50,0.8066666666666666,0.11953614051360739,30,0.6333333333333333,0.8333333333333333,1.0,0.8166666666666667,0.75,0.19951634407043456,0.0015587806701660156
0.599484,0.9,5,0.71,0.16282232989093087,124,0.43333333333333335,0.6666666666666666,0.9166666666666667,0.7166666666666667,0.8166666666666667,0.1766869068145752,0.0015356063842773438
0.599484,0.9,10,0.6833333333333333,0.08881941729649485,131,0.55,0.7333333333333334,0.8,0.6166666666666667,0.7166666666666667,0.1762911319732666,0.0015903472900390624
0.599484,0.9,20,0.82,0.12174654911833115,17,0.6166666666666667,0.8333333333333333,1.0,0.8166666666666667,0.8333333333333333,0.17708039283752441,0.0015447616577148437
0.599484,0.9,50,0.8033333333333333,0.15965240019770732,34,0.5333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.75,0.17699909210205078,0.001618194580078125
2.15443,0.1,5,0.74,0.17339742404853267,102,0.4666666666666667,0.8166666666666667,1.0,0.7,0.7166666666666667,0.250567626953125,0.0015492916107177734
2.15443,0.1,10,0.78,0.12445436468396315,64,0.6333333333333333,0.9166666666666667,0.9,0.6333333333333333,0.8166666666666667,0.2501499176025391,0.0016148090362548828
2.15443,0.1,20,0.7899999999999998,0.17499206331208914,44,0.4666666666666667,0.8333333333333333,1.0,0.8333333333333333,0.8166666666666667,0.25042386054992677,0.0015395641326904296
2.15443,0.1,50,0.7833333333333333,0.14981470036162822,60,0.6333333333333333,0.9166666666666667,1.0,0.6333333333333333,0.7333333333333334,0.2504814624786377,0.0015395641326904296
2.15443,0.3,5,0.76,0.19425069712444618,86,0.55,0.9166666666666667,1.0,0.5166666666666667,0.8166666666666667,0.3052891731262207,0.0015444278717041016
2.15443,0.3,10,0.7466666666666666,0.12754084313139324,97,0.55,0.8166666666666667,0.9,0.8166666666666667,0.65,0.305523681640625,0.001534271240234375
2.15443,0.3,20,0.8066666666666666,0.19107880863955354,30,0.4666666666666667,0.9166666666666667,1.0,0.9166666666666667,0.7333333333333334,0.3064266204833984,0.0016556262969970703
2.15443,0.3,50,0.7666666666666667,0.13621877827801698,73,0.6333333333333333,0.8333333333333333,1.0,0.7166666666666667,0.65,0.3062884330749512,0.0015518665313720703
2.15443,0.5,5,0.69,0.12631530214330944,130,0.6333333333333333,0.6666666666666666,0.9,0.5166666666666667,0.7333333333333334,0.34650483131408694,0.0015617847442626954
2.15443,0.5,10,0.7833333333333332,0.1735255344642716,63,0.4666666666666667,0.8166666666666667,1.0,0.8166666666666667,0.8166666666666667,0.34696507453918457,0.001550579071044922
2.15443,0.5,20,0.8033333333333333,0.12128936932440167,34,0.6333333333333333,0.8333333333333333,1.0,0.8166666666666667,0.7333333333333334,0.34807624816894533,0.0015522003173828124
2.15443,0.5,50,0.7466666666666666,0.17931970208417022,97,0.6333333333333333,0.9166666666666667,1.0,0.5333333333333333,0.65,0.346619701385498,0.0015532970428466797
2.15443,0.7,5,0.7166666666666668,0.1187901978747031,121,0.55,0.6666666666666666,0.9166666666666667,0.7166666666666667,0.7333333333333334,0.433104944229126,0.0015444755554199219
2.15443,0.7,10,0.7266666666666668,0.11623730516108463,113,0.55,0.7333333333333334,0.9166666666666667,0.7166666666666667,0.7166666666666667,0.4338982582092285,0.0016723155975341796
2.15443,0.7,20,0.8366666666666666,0.12265579661982734,12,0.6333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.8166666666666667,0.4330750465393066,0.001564359664916992
2.15443,0.7,50,0.7833333333333333,0.17094508539944114,60,0.5333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.65,0.4333806991577148,0.0015607357025146484
2.15443,0.9,5,0.7166666666666668,0.1187901978747031,121,0.55,0.6666666666666666,0.9166666666666667,0.7166666666666667,0.7333333333333334,0.4966020107269287,0.0015655994415283204
2.15443,0.9,10,0.7266666666666668,0.11623730516108463,113,0.55,0.7333333333333334,0.9166666666666667,0.7166666666666667,0.7166666666666667,0.49489631652832033,0.0015497207641601562
2.15443,0.9,20,0.82,0.1297005097222915,17,0.6333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.7333333333333334,0.4941848278045654,0.0015562057495117187
2.15443,0.9,50,0.7866666666666666,0.13474255287605158,49,0.6333333333333333,0.8333333333333333,1.0,0.8166666666666667,0.65,0.49562821388244627,0.0016360759735107421
7.74264,0.1,5,0.7766666666666667,0.1614517471774978,70,0.55,0.9166666666666667,1.0,0.7,0.7166666666666667,0.397654390335083,0.0017390727996826171
7.74264,0.1,10,0.7633333333333333,0.10974718422102886,82,0.6333333333333333,0.8333333333333333,0.9,0.6333333333333333,0.8166666666666667,0.39743404388427733,0.001560354232788086
7.74264,0.1,20,0.8033333333333333,0.14429907214608909,34,0.55,0.8333333333333333,1.0,0.8166666666666667,0.8166666666666667,0.3971384048461914,0.0015498161315917968
7.74264,0.1,50,0.8066666666666666,0.12183777921664708,30,0.6333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.7333333333333334,0.39779391288757326,0.0015540599822998046
7.74264,0.3,5,0.74,0.17339742404853267,102,0.4666666666666667,0.8166666666666667,1.0,0.7,0.7166666666666667,0.5145374774932862,0.001559305191040039
7.74264,0.3,10,0.6933333333333332,0.15151090903151349,129,0.4666666666666667,0.8166666666666667,0.9,0.6333333333333333,0.65,0.5138562679290771,0.0015841960906982423
7.74264,0.3,20,0.7866666666666665,0.1644519517805868,51,0.4666666666666667,0.8333333333333333,0.9,0.9166666666666667,0.8166666666666667,0.5144565582275391,0.0015453338623046876
7.74264,0.3,50,0.7666666666666666,0.15881505666095463,76,0.6333333333333333,0.9166666666666667,1.0,0.6333333333333333,0.65,0.514483642578125,0.0015507221221923828
7.74264,0.5,5,0.7066666666666667,0.22400396821881924,125,0.3833333333333333,0.8166666666666667,1.0,0.5166666666666667,0.8166666666666667,0.5849353790283203,0.0015596389770507813
7.74264,0.5,10,0.7466666666666667,0.15362291495737215,90,0.55,0.8166666666666667,1.0,0.7166666666666667,0.65,0.5872092247009277,0.0016589164733886719
7.74264,0.5,20,0.7866666666666667,0.18360585805227217,45,0.4666666666666667,0.9166666666666667,1.0,0.8166666666666667,0.7333333333333334,0.5854767799377442,0.0015581130981445312
