param_clf__shrink_threshold,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,0.0129155,0.9,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.0031244754791259766,0.0013193130493164063
,0.0129155,0.9,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.002905750274658203,0.00121307373046875
,0.0129155,0.9,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.0027290821075439454,0.001161479949951172
,0.0129155,0.9,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.002758359909057617,0.0011809825897216796
,0.0464159,0.1,5,0.6566666666666666,0.11671427600007726,389,0.8333333333333333,0.65,0.55,0.5166666666666667,0.7333333333333334,0.01821613311767578,0.0011726856231689454
,0.0464159,0.1,10,0.6433333333333333,0.08981462390204988,444,0.75,0.7333333333333334,0.55,0.5333333333333333,0.65,0.01823086738586426,0.0011703014373779298
,0.0464159,0.1,20,0.7233333333333334,0.08339997335464537,100,0.8,0.8166666666666667,0.6166666666666667,0.75,0.6333333333333333,0.018285083770751952,0.001190328598022461
,0.0464159,0.1,50,0.7233333333333334,0.05830951894845301,100,0.7166666666666667,0.8166666666666667,0.7166666666666667,0.7333333333333334,0.6333333333333333,0.018581628799438477,0.001180410385131836
,0.0464159,0.3,5,0.6566666666666666,0.21566434826162414,389,1.0,0.75,0.6333333333333333,0.35,0.55,0.01894679069519043,0.0011673450469970703
,0.0464159,0.3,10,0.7100000000000001,0.07039570693980958,153,0.8166666666666667,0.7333333333333334,0.6166666666666667,0.7333333333333334,0.65,0.018631410598754884,0.001169109344482422
,0.0464159,0.3,20,0.6866666666666666,0.11075498483890765,259,0.8,0.8166666666666667,0.5166666666666667,0.65,0.65,0.018699073791503908,0.0011726856231689454
,0.0464159,0.3,50,0.6799999999999999,0.15542057635833023,295,0.8,0.9166666666666667,0.5166666666666667,0.5333333333333333,0.6333333333333333,0.01888890266418457,0.0011901378631591797
,0.0464159,0.5,5,0.5466666666666667,0.10349449797506682,525,0.55,0.7333333333333334,0.55,0.45,0.45,0.012716436386108398,0.001164865493774414
,0.0464159,0.5,10,0.71,0.12498888839501784,156,0.6166666666666667,0.7333333333333334,0.7333333333333334,0.9166666666666667,0.55,0.012572002410888673,0.0011634349822998047
,0.0464159,0.5,20,0.5266666666666666,0.18336363385966753,540,0.55,0.8333333333333333,0.26666666666666666,0.5333333333333333,0.45,0.012753152847290039,0.0011723995208740234
,0.0464159,0.5,50,0.5233333333333332,0.13441230102437302,557,0.35,0.75,0.5333333333333333,0.43333333333333335,0.55,0.012689638137817382,0.0011710643768310547
,0.0464159,0.7,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.0035180568695068358,0.001175069808959961
,0.0464159,0.7,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.0036023139953613283,0.0011721611022949218
,0.0464159,0.7,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.003476381301879883,0.0011726856231689454
,0.0464159,0.7,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.0035886287689208983,0.0011797904968261718
,0.0464159,0.9,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.0031475543975830076,0.0011717319488525391
,0.0464159,0.9,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.003188896179199219,0.0011743545532226563
,0.0464159,0.9,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.0031269073486328127,0.0011757373809814452
,0.0464159,0.9,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.0031653404235839843,0.0011739730834960938
